round,attack_id,reviewer_angle,failure_mode,harsh_question,defense_artifact_or_revision,status
1,generic_budget,novelty,Could read like a generic candidate-budget paper.,Would the argument still work if VLA terms were deleted?,"Make instruction, object observation, semantic affordance, action candidates, and physical certificates central.",pass
2,clone_risk,novelty,Looks like the same selected-tail theorem reused.,Is the paper just another wrapper around the finite law?,"Use the law only as audit math; put TailGuard, VLA failures, and robotics boundary artifacts in the foreground.",pass
3,real_robot,scope,The text may imply robot validation.,Does any sentence claim hardware evidence?,"State controlled evidence and no real-robot validation in abstract, limits, checklist, and external table.",pass
4,external_success,scope,RoboCasa/LIBERO status could be misread as success.,Are reward or success metrics reported?,Treat external artifacts as integration status only with no method outcome claim.,pass
5,smolvla_overclaim,scope,SmoLVLA probe could be oversold.,Does synthetic action emission imply benchmark validation?,Report it only as CPU model-plumbing evidence.,pass
6,certificate_idealization,assumption,"Physical certificates are modeled, not real safety certificates.",Does TailGuard rely on perfect perception/dynamics?,List the modeled predicates and boundary conditions explicitly.,bounded
7,calibration_labels,assumption,Pilot labels may be too clean.,Does calibration assume representative selected-tail labels?,Report label-budget/noise stress and collect_pilot_labels decisions.,pass
8,noisy_verifier,robustness,Grounding might be imperfect.,Does the paper show noisy verifier failure?,Include mild/harsh noisy verifier rows and unsafe gates.,pass
9,ablation_stack,ablation,TailGuard may be redundant components.,Does every component matter?,Expose component-specific ablation failures.,pass
10,fallback_honesty,policy,Abstention could hide failures.,Does the method pretend blocked cases are successes?,Report fallback and abstention as first-class outcomes.,pass
11,n1_baseline,baseline,High-N could be compared only to weak baselines.,Does TailGuard beat N=1 and random lower-bound baselines?,Keep baseline checks in method and TailGuard table.,pass
12,random_baseline,baseline,Random selection baseline may be missing.,Is random high-N represented?,Include random high-N row and no-random-check ablation.,pass
13,oracle_gap,baseline,Near-oracle repair may be overclaimed.,Is oracle treated as deployable?,Call oracle an upper bound and keep gaps visible.,pass
14,theory_sampling,theory,Finite law could mismatch implementation.,Is the law tie-aware and without-replacement?,State exact without-replacement law and tests.,pass
15,constant_scores,theory,Tie handling may be wrong.,Are ties and score groups covered?,Keep tie-aware proof and unit tests in claim map.,pass
16,semantic_only,theory,No-free-lunch may be too strong.,Is the proposition conditional on observed features?,State semantic-score-only impossibility for unconstrained upper-tail utility.,pass
17,metric_cherry_pick,statistics,Only utility could hide physical failures.,Are wrong-object/collision/reach/stability shown?,Expose violation decomposition and stress tables.,pass
